Date,Start,Finish
22/03/17,03:30:00,04:00:00
22/03/17,09:00:00,09:20:00
22/03/17,12:00:00,12:15:00
22/03/17,14:10:00,14:20:00
22/03/17,17:05:00,17:30:00
22/03/17,19:45:00,20:15:00
02/04/17,14:00:00,14:15:00
02/04/17,16:00:00,16:30:00
02/04/17,17:30:00,18:00:00
02/04/17,19:45:00,20:10:00
03/04/17,01:50:00,02:50:00
03/04/17,05:50:00,06:10:00
03/04/17,09:15:00,09:40:00
03/04/17,12:00:00,12:15:00
03/04/17,14:00:00,14:20:00
03/04/17,16:20:00,16:35:00
03/04/17,17:50:00,18:10:00
03/04/17,19:30:00,19:45:00
03/04/17,21:30:00,21:45:00
03/04/17,22:30:00,22:45:00
04/04/17,01:35:00,02:10:00
04/04/17,05:35:00,05:55:00
04/04/17,08:45:00,09:10:00
04/04/17,11:15:00,11:45:00
04/04/17,13:10:00,13:30:00
04/04/17,14:00:00,14:15:00
04/04/17,16:00:00,16:15:00
04/04/17,18:45:00,19:00:00
04/04/17,20:30:00,21:00:00
04/04/17,23:00:00,23:30:00
05/04/17,02:00:00,02:15:00
05/04/17,04:15:00,04:50:00
05/04/17,06:50:00,07:10:00
05/04/17,09:25:00,09:45:00
05/04/17,12:00:00,12:15:00
05/04/17,14:20:00,14:35:00
05/04/17,16:00:00,16:30:00
05/04/17,20:00:00,20:30:00
05/04/17,21:30:00,22:00:00
06/04/17,01:10:00,01:45:00
06/04/17,04:30:00,05:00:00
06/04/17,06:45:00,07:10:00
06/04/17,10:00:00,10:15:00
06/04/17,12:25:00,12:45:00
06/04/17,14:30:00,15:00:00
06/04/17,16:30:00,16:50:00
06/04/17,18:00:00,18:20:00
06/04/17,20:00:00,21:00:00
06/04/17,22:30:00,23:00:00
07/04/17,02:30:00,03:00:00
07/04/17,05:30:00,06:00:00
07/04/17,08:30:00,09:00:00
07/04/17,10:30:00,11:00:00
07/04/17,12:45:00,13:15:00
07/04/17,16:00:00,16:30:00
07/04/17,18:40:00,19:20:00
07/04/17,21:00:00,21:30:00
08/04/17,01:15:00,01:45:00
08/04/17,04:15:00,04:35:00
08/04/17,07:40:00,08:05:00
08/04/17,10:00:00,10:35:00
08/04/17,13:00:00,13:20:00
08/04/17,15:45:00,16:10:00
08/04/17,18:50:00,19:15:00
08/04/17,20:00:00,20:15:00
08/04/17,21:30:00,21:50:00
09/04/17,02:45:00,03:15:00
09/04/17,06:00:00,06:20:00
09/04/17,08:15:00,08:35:00
