Date,Start,Finish
22/03/17,03:30:00,04:00:00
22/03/17,09:00:00,09:20:00
22/03/17,12:00:00,12:15:00
22/03/17,14:10:00,14:20:00
22/03/17,17:05:00,17:30:00
22/03/17,19:45:00,20:15:00
02/04/17,14:00:00,14:15:00
02/04/17,16:00:00,16:30:00
02/04/17,17:30:00,18:00:00
02/04/17,19:45:00,20:10:00
03/04/17,01:50:00,02:50:00
03/04/17,05:50:00,06:10:00
03/04/17,09:15:00,09:40:00
03/04/17,12:00:00,12:15:00
03/04/17,14:00:00,14:20:00
03/04/17,16:20:00,16:35:00
03/04/17,17:50:00,18:10:00
03/04/17,19:30:00,19:45:00
03/04/17,21:30:00,21:45:00
03/04/17,22:30:00,22:45:00
04/04/17,01:35:00,02:10:00
04/04/17,05:35:00,05:55:00
04/04/17,08:45:00,09:10:00
